id,name,zone,address,nearest_metro,latitude,longitude,category,crowd_level,description,source
kolkata-0001,24 Palli Udayan Sangha,North/Central Kolkata,"16 Haralal Das St, Entally",Sealdah,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 16 Haralal Das St, Entally",Dugga Elo 2026
kolkata-0002,37 Palli,North/Central Kolkata,10 Dr Kartik Bose St,Sealdah,,,Community Puja,,Community Puja in North/Central Kolkata. Address: 10 Dr Kartik Bose St,Dugga Elo 2026
kolkata-0003,Ahiritola Jubak Brinda,North/Central Kolkata,83 Ahiritola St,Shobhabazar Sutanuti,,,Community Puja,,Community Puja in North/Central Kolkata. Address: 83 Ahiritola St,Dugga Elo 2026
kolkata-0004,Bagbazar Pally Puja,North/Central Kolkata,"Girish Ave, Sovabazar",Shyambazar,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Girish Ave, Sovabazar",Dugga Elo 2026
kolkata-0005,Bagbazar Sarbojanin,North/Central Kolkata,78 Bagbazar St,Shyambazar,,,Community Puja,,Community Puja in North/Central Kolkata. Address: 78 Bagbazar St,Dugga Elo 2026
kolkata-0006,Baghbazar Haldar Bari er Pujo,North/Central Kolkata,"17/1 Kaliprasad Chakraborty St, Baghbazar, Kolkata 700003",Shobhabazar Sutanuti,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 17/1 Kaliprasad Chakraborty St, Baghbazar, Kolkata 700003",Dugga Elo 2026
kolkata-0007,Belgachia Olaichandi,North/Central Kolkata,"97 Khudiram Bose Rd, Belgachia",Belgachhia,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 97 Khudiram Bose Rd, Belgachia",Dugga Elo 2026
kolkata-0008,Belgachia Sadharan,North/Central Kolkata,"Tala, Belgachia",Belgachhia,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Tala, Belgachia",Dugga Elo 2026
kolkata-0009,Chalta Bagan,North/Central Kolkata,"159D Vivekananda Rd, Manicktala",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 159D Vivekananda Rd, Manicktala",Dugga Elo 2026
kolkata-0010,Chorebagan Sarbojanin,North/Central Kolkata,"Radha Madhab Saha Ln, Simla",Mahatma Gandhi Road,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Radha Madhab Saha Ln, Simla",Dugga Elo 2026
kolkata-0011,College Square,North/Central Kolkata,College St,Central,,,Community Puja,Very High,Community Puja in North/Central Kolkata. Address: College St,Dugga Elo 2026
kolkata-0012,Cossipore Naba Yubak Sangha,North/Central Kolkata,"Rustam Ji Parsi Rd, Cossipore",Dum Dum,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Rustam Ji Parsi Rd, Cossipore",Dugga Elo 2026
kolkata-0013,Dum Dum Park Bharat Chakra,North/Central Kolkata,"Tank No. 2, Dum Dum Park, South Dumdum",Central Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Tank No. 2, Dum Dum Park, South Dumdum",Dugga Elo 2026
kolkata-0014,Dum Dum Park Sarbojanin,North/Central Kolkata,"225/1, Dum Dum Park, South Dumdum",Central Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 225/1, Dum Dum Park, South Dumdum",Dugga Elo 2026
kolkata-0015,Friends' Union,North/Central Kolkata,9 Bhabnath Sen St,Shyambazar,,,Community Puja,,Community Puja in North/Central Kolkata. Address: 9 Bhabnath Sen St,Dugga Elo 2026
kolkata-0016,Garpar Matri Mandir,North/Central Kolkata,"16, Brindaban Mullick 1st Ln, Manicktala",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 16, Brindaban Mullick 1st Ln, Manicktala",Dugga Elo 2026
kolkata-0017,Gouribari Sarbojanin,North/Central Kolkata,"4 Gouri Bari Ln, Manicktala",Shyambazar,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 4 Gouri Bari Ln, Manicktala",Dugga Elo 2026
kolkata-0018,Hari Ghosh Lane,North/Central Kolkata,"Hari Ghosh St, Manicktala",Shobhabazar Sutanuti,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Hari Ghosh St, Manicktala",Dugga Elo 2026
kolkata-0019,Hathkhola Dutta Barir Durga Pujo,North/Central Kolkata,"78 Nimtala Ghat St, Kolkata 700005",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 78 Nimtala Ghat St, Kolkata 700005",Dugga Elo 2026
kolkata-0020,Hatibagan Sarbojonin,North/Central Kolkata,"134 Sri Aurobinda Sarani, Hati Bagan",Shobhabazar Sutanuti,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 134 Sri Aurobinda Sarani, Hati Bagan",Dugga Elo 2026
kolkata-0021,Jorasanko Sadharan Durgotsab Samiti,North/Central Kolkata,"34 Vivekananda Rd, Jorasanko",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 34 Vivekananda Rd, Jorasanko",Dugga Elo 2026
kolkata-0022,Kashi Bose Lane,North/Central Kolkata,"5/1 Kashi Bose Ln, Manicktala",Shobhabazar Sutanuti,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 5/1 Kashi Bose Ln, Manicktala",Dugga Elo 2026
kolkata-0023,Khelat Ghose er Durga Pujo,North/Central Kolkata,"47 Pathuriaghata St, Kolkata 700006",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 47 Pathuriaghata St, Kolkata 700006",Dugga Elo 2026
kolkata-0024,Kumartuli Park,North/Central Kolkata,"8B Abhay Mitra St, Kumartuli",Shobhabazar Sutanuti,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 8B Abhay Mitra St, Kumartuli",Dugga Elo 2026
kolkata-0025,Md. Ali Park,North/Central Kolkata,"Chittaranjan Ave, College Square",Mahatma Gandhi Road,,,Community Puja,Very High,"Community Puja in North/Central Kolkata. Address: Chittaranjan Ave, College Square",Dugga Elo 2026
kolkata-0026,Nabin Sarkar St Sarbojanin,North/Central Kolkata,"35/1A Bagbazar St, Bidhan Sarani, Baghbazar",Shyambazar,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 35/1A Bagbazar St, Bidhan Sarani, Baghbazar",Dugga Elo 2026
kolkata-0027,Nalin Sarkar Street,North/Central Kolkata,"Nalin Sarkar St, Sovabazar, Hati Bagan",Shyambazar,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Nalin Sarkar St, Sovabazar, Hati Bagan",Dugga Elo 2026
kolkata-0028,Nawpara Dadabhai Sangha,North/Central Kolkata,"79 AK Mukherjee Rd, Noapara, Palpara, Baranagar",Noapara,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 79 AK Mukherjee Rd, Noapara, Palpara, Baranagar",Dugga Elo 2026
kolkata-0029,Nimtala Sarbojanin,North/Central Kolkata,"16B Nimtala Ln, Ahiritola",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 16B Nimtala Ln, Ahiritola",Dugga Elo 2026
kolkata-0030,Paikpara 15 Palli,North/Central Kolkata,"Gangulipara, Paikpara",Belgachhia,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Gangulipara, Paikpara",Dugga Elo 2026
kolkata-0031,Pally Bashi Brindo,North/Central Kolkata,"LIG Housing, Dutta Bagan, Paikpara",Belgachhia,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: LIG Housing, Dutta Bagan, Paikpara",Dugga Elo 2026
kolkata-0032,Pathuria Ghata 5 ER Pally,North/Central Kolkata,"Malapara, Santoshpur Jorabagan",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Malapara, Santoshpur Jorabagan",Dugga Elo 2026
kolkata-0033,Rabindra Kanan,North/Central Kolkata,"329 Rabindra Sarani, Ahiritola",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 329 Rabindra Sarani, Ahiritola",Dugga Elo 2026
kolkata-0034,Ram Mohan Sammilani,North/Central Kolkata,"4 Rammohan Roy Rd, Garpar",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 4 Rammohan Roy Rd, Garpar",Dugga Elo 2026
kolkata-0035,RAMDULAL NIBAS er Durga Pujo,North/Central Kolkata,"67E Beadon St, Kolkata 700006",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 67E Beadon St, Kolkata 700006",Dugga Elo 2026
kolkata-0036,Rani Rashmoni er Durga Pujo,North/Central Kolkata,"13 Rani Rashmoni Rd, Janbazar, Kolkata 700013",Park Street,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 13 Rani Rashmoni Rd, Janbazar, Kolkata 700013",Dugga Elo 2026
kolkata-0037,Santosh Mitra Square,North/Central Kolkata,"Natabar Dutta Row, Bowbazar",Sealdah,,,Community Puja,Very High,"Community Puja in North/Central Kolkata. Address: Natabar Dutta Row, Bowbazar",Dugga Elo 2026
kolkata-0038,Sealdah Athletic Club,North/Central Kolkata,"Kaiser St, Sealdah",Sealdah,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Kaiser St, Sealdah",Dugga Elo 2026
kolkata-0039,Shyam Square,North/Central Kolkata,"Bidhan Sarani, Shyam Bazar",Shyambazar,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Bidhan Sarani, Shyam Bazar",Dugga Elo 2026
kolkata-0040,Sikdar Bagan Sadharan,North/Central Kolkata,"1 Sikdar Bagan St, Sovabazar, Hati Bagan",Shyambazar,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 1 Sikdar Bagan St, Sovabazar, Hati Bagan",Dugga Elo 2026
kolkata-0041,Simla Bayam Samiti,North/Central Kolkata,"9B Simla, Machuabazar",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 9B Simla, Machuabazar",Dugga Elo 2026
kolkata-0042,Sinthee Sarbojainin,North/Central Kolkata,"15B Roy Para, Sinthee",Dum Dum,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 15B Roy Para, Sinthee",Dugga Elo 2026
kolkata-0043,Sovabazar 20 Palli Beniatola,North/Central Kolkata,"Beniatola St, Sovabazar",Shobhabazar Sutanuti,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Beniatola St, Sovabazar",Dugga Elo 2026
kolkata-0044,Sovabazar Rajbari,North/Central Kolkata,"Raja Nabakrishna St, Sovabazar",Shobhabazar Sutanuti,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Raja Nabakrishna St, Sovabazar",Dugga Elo 2026
kolkata-0045,Sovabazar Rajbarir Durga Pujo,North/Central Kolkata,"36 & 33 Raja Nabakrishna St, Sovabazar, Kolkata 700005",Shobhabazar Sutanuti,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 36 & 33 Raja Nabakrishna St, Sovabazar, Kolkata 700005",Dugga Elo 2026
kolkata-0046,Sreebhumi Sporting Club,North/Central Kolkata,"Canal St, Sreebhumi, Lake Town, South Dumdum",City Center,,,Community Puja,Very High,"Community Puja in North/Central Kolkata. Address: Canal St, Sreebhumi, Lake Town, South Dumdum",Dugga Elo 2026
kolkata-0047,Srimani Barir Durga Pujo,North/Central Kolkata,"17 Mahendra Srimani St (Sukea St), Kolkata 700009",Girish Park,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: 17 Mahendra Srimani St (Sukea St), Kolkata 700009",Dugga Elo 2026
kolkata-0048,Tala Park,North/Central Kolkata,"Tala Park Rd, Tala",Belgachhia,,,Community Puja,,"Community Puja in North/Central Kolkata. Address: Tala Park Rd, Tala",Dugga Elo 2026
